;2025M08;2025M09;2025M10
Familiens.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden;-13;-19,3;-14,3
Familiens.oekonomiske..situation.om.et.aar..sammenlignet.med.i.dag;-5,4;-6,7;-6
Danmarks.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden;-26,3;-29,1;-32,9
Danmarks.oekonomiske.situation.om.et.aar..sammenlignet.med.i.dag;-25,5;-21,7;-25
Anskaffelse.af.stoerre.forbrugsgoder..fordelagtigt.for.oejeblikket;-15,9;-16,8;-19,5
Priser.i.dag..sammenlignet.med.for.et.aar.siden;51,8;58,1;56,3
Priser.om.et.aar..sammenlignet.med.i.dag;35,4;29,6;29,6
Arbejdsloesheden.om.et.aar..sammenlignet.med.i.dag;11,9;13,9;15,4
Anskaffelse.af.stoerre.forbrugsgoder..inden.for.de.naeste.12.mdr.;-10,5;-11,3;-9,6
Anser.det.som.fornuftigt.at.spare.op.i.den.nuvaerende.oekonomiske.situation;..;..;..
Regner.med.at.kunne.spare.op.i.de.kommende.12.maaneder;23,5;20;21,7
Familiens.oekonomiske.situation.lige.nu:.kan.spare/penge.slaar.til/.bruger.mere.end.man.tjener;23,9;21,5;27,3
