"tid","Anser.det.som.fornuftigt.at.spare.op.i.den.nuvaerende.oekonomiske.situation","Anskaffelse.af.stoerre.forbrugsgoder..fordelagtigt.for.oejeblikket","Anskaffelse.af.stoerre.forbrugsgoder..inden.for.de.naeste.12.mdr.","Arbejdsloesheden.om.et.aar..sammenlignet.med.i.dag","Danmarks.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Danmarks.oekonomiske.situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske..situation.om.et.aar..sammenlignet.med.i.dag","Familiens.oekonomiske.situation.i.dag..sammenlignet.med.for.et.aar.siden","Familiens.oekonomiske.situation.lige.nu..kan.spare.penge.slaar.til..bruger.mere.end.man.tjener","Priser.i.dag..sammenlignet.med.for.et.aar.siden","Priser.om.et.aar..sammenlignet.med.i.dag","Regner.med.at.kunne.spare.op.i.de.kommende.12.maaneder","indikator","forbrug","realvaekst"
"2000K1",67.6666666666667,-6.33333333333333,-7.33333333333333,-5.33333333333333,-3.33333333333333,8,-13,2.33333333333333,24,-14,-7.33333333333333,27.3333333333333,6.05555555555556,205.4,0.0974658869395739
"2000K2",64.3333333333333,-2,-6.33333333333333,-9,2,0.666666666666667,-15,7.33333333333333,26.3333333333333,-10,-9,29.3333333333333,6.55555555555555,206,0.292112950340795
"2000K3",67,-8,-8.33333333333333,-7.33333333333333,1.66666666666667,1,-15,6.33333333333333,25.3333333333333,-9.66666666666667,-9.66666666666667,24.6666666666667,5.66666666666667,206.1,0.0485436893203905
"2000K4",68.3333333333333,-0.333333333333333,-8.66666666666667,-0.333333333333333,-0.666666666666667,6,-13,4.66666666666667,23.3333333333333,-8.66666666666667,-4,22.3333333333333,7.41666666666666,205,-0.533721494420181
"2001K1",73,-6,-7.33333333333333,-0.333333333333333,0,5,-14.3333333333333,4.33333333333333,24.6666666666667,-13.3333333333333,-11,27.6666666666667,6.86111111111112,205.9,0.439024390243903
"2001K2",73.3333333333333,-6,-6.33333333333333,2.66666666666667,-5.66666666666667,7,-12.6666666666667,5.66666666666667,25.3333333333333,-9.66666666666667,-8.33333333333333,27.3333333333333,7.72222222222221,208.2,1.11704711024769
"2001K3",70.3333333333333,-11.6666666666667,-3.66666666666667,-1.66666666666667,-3.33333333333333,4,-12.6666666666667,6,25,-11,-10,26.3333333333333,6.47222222222221,207.1,-0.528338136407303
"2001K4",69.6666666666667,-23.6666666666667,-7,10.3333333333333,-4.33333333333333,4.66666666666667,-15,8.66666666666667,24.3333333333333,-20,-14.6666666666667,27.6666666666667,5.05555555555555,205.5,-0.772573635924667
"2002K1",71.3333333333333,-14.3333333333333,-4.33333333333333,11.6666666666667,-2,-2,-16.6666666666667,6,25.3333333333333,-15,20.3333333333333,30,9.19444444444444,208.7,1.55717761557177
"2002K2",72.3333333333333,-7.33333333333333,-4,5.66666666666667,-3.33333333333333,-0.333333333333333,-13,8.33333333333333,27.6666666666667,-13.3333333333333,19.3333333333333,30.3333333333333,10.1944444444444,208.2,-0.239578342117874
